SeqId	contrast	estimate	SE	df	lower.CL	upper.CL	p.value	Model	UniProt	EntrezGeneSymbol	is_diffexp	CI_Width
10499-1	EARLYOA - HEALTHY	0.210061575923616	0.203864061103843	1819.10972246536	-0.268126919378736	0.688250071225968	0.557732707059231	127	Q96A25	TMEM106A	FALSE	0.956376990604704
10505-12	EARLYOA - HEALTHY	-0.103928011776009	0.188171656081624	1818.35906915975	-0.54530817009375	0.337452146541732	0.845308404695428	46	Q68DV7	RNF43	FALSE	0.882760316635482
10506-53	EARLYOA - HEALTHY	-0.16727174807975	0.178053806027909	1814.8157291203	-0.584919892921468	0.250376396761967	0.615357985038015	89	O15173	PGRMC2	FALSE	0.835296289683435
10507-166	EARLYOA - HEALTHY	-0.609564219067406	0.189224495776415	1749.56099405264	-1.05342827482974	-0.165700163305074	0.00371564000812408	88	P26436	ACRV1	TRUE	0.887728111524664
10510-62	EARLYOA - HEALTHY	-0.148980872019837	0.21013889821852	1827.41239775238	-0.641885939815084	0.34392419577541	0.758221599365369	131	Q6UWF3	SCIMP	FALSE	0.985810135590494
10511-10	EARLYOA - HEALTHY	0.354899577089054	0.218227507581213	1766.7365339554	-0.156992620827651	0.866791775005759	0.2347840975333	64	P12111	COL6A3	FALSE	1.02378439583341
10512-13	EARLYOA - HEALTHY	0.00689600972254774	0.197595603845647	1788.44064214666	-0.456595562901879	0.470387582346974	0.999328718252244	26	P32927	CSF2RB	FALSE	0.926983145248853
10513-13	EARLYOA - HEALTHY	0.0406255624804026	0.200728923468834	1605.34553209916	-0.430260535912551	0.511511660873356	0.977671904541713	119	Q9Y2W7	KCNIP3	FALSE	0.941772196785907
10514-5	EARLYOA - HEALTHY	-0.00795955181845737	0.233068100127369	1796.6026336152	-0.554655371377415	0.5387362677405	0.999357191718847	107	P41222	PTGDS	FALSE	1.09339163911791
10521-10	EARLYOA - HEALTHY	-0.0829079398257633	0.201567527611678	1774.58697935469	-0.555719365685822	0.389903486034296	0.91097842975791	42	Q9BRK3	MXRA8	FALSE	0.945622851720118
